Protein	Neighborhood
GRN	Secretory
GRPEL1	Mitochondria
GRPEL2	Mitochondria
GRSF1	Secretory
GRTP1	Secretory
GRWD1	Nuclear
GSC	Unclassified
GSDMA	Unclassified
GSE1	Nuclear
GSG2	Nuclear
GSK3A	Cytosol
GSK3B	Cytosol
GSKIP	Cytosol
GSN	Cytosol
GSPT1	Cytosol
GSPT2	Cytosol
GSR	Cytosol
GSS	Cytosol
GSTCD	Cytosol
GSTK1	Secretory
GSTM3	Cytosol
GSTM4	Cytosol
GSTO1	Cytosol
GSTO2	Cytosol
GSTT1	Cytosol
GSTZ1	Cytosol
GTF2A1	Unclassified
GTF2A2	Unclassified
GTF2B	Nuclear
GTF2E1	Nuclear
GTF2E2	Nuclear
GTF2F1	Nuclear
GTF2F2	Nuclear
GTF2H1	Nuclear
GTF2H3	Nuclear
GTF2H4	Nuclear
GTF2H5	Nuclear
GTF2IRD1	Mitochondria
GTF3A	Cytosol
GTF3C1	Nuclear
GTF3C2	Nuclear
GTF3C3	Nuclear
GTF3C4	Nuclear
GTF3C5	Nuclear
GTF3C6	Nuclear
GTPBP1	Cytosol
GTPBP10	Secretory
GTPBP2	Secretory
GTPBP3	Mitochondria
GTPBP4	Nuclear
GTPBP6	Mitochondria
GTPBP8	Mitochondria
GTSE1	Cytosol
GUCD1	Secretory
GUF1	Mitochondria
GUK1	Cytosol
GULP1	Mitochondria
GUSB	Secretory
GXYLT1	Secretory
GYG1	Cytosol
GYG2	Cytosol
GYLTL1B	Secretory
GYS1	Cytosol
GYS2	Cytosol
GZF1	Nuclear
H1F0	Nuclear
H1FX	Nuclear
H2AFX	Nuclear
H2AFY	Nuclear
H2AFY2	Nuclear
H3F3C	Unclassified
H6PD	Unclassified
HABP2	Cytosol
HABP4	Nuclear
HACE1	Cytosol
HACL1	Secretory
HADH	Mitochondria
HADHA	Mitochondria
HADHB	Mitochondria
HAGH	Cytosol
HAGHL	Cytosol
HAPLN3	Cytosol
HARS	Cytosol
HARS2	Mitochondria
HAT1	Nuclear
HAUS1	Cytosol
HAUS2	Cytosol
HAUS3	Cytosol
HAUS4	Cytosol
HAUS5	Cytosol
HAUS6	Cytosol
HAUS7	Cytosol
HAUS8	Cytosol
HAX1	Mitochondria
HBP1	Nuclear
HBS1L	Cytosol
HCCS	Mitochondria
HCFC1	Nuclear
HCFC2	Nuclear
HCK	Secretory
HCN2	Secretory
HDAC1	Nuclear
HDAC10	Cytosol
HDAC11	Secretory
HDAC2	Nuclear
HDAC3	Nuclear
HDAC4	Cytosol
HDAC6	Cytosol
HDAC7	Cytosol
HDAC8	Unclassified
HDDC2	Cytosol
HDDC3	Cytosol
HDGF	Nuclear
HDHD1	Cytosol
HDHD2	Cytosol
HDHD3	Unclassified
HDLBP	Unclassified
HEATR1	Nuclear
HEATR2	Cytosol
HEATR3	Cytosol
HEATR5A	Cytosol
HEATR5B	Cytosol
HEATR6	Cytosol
HEBP1	Cytosol
HEBP2	Cytosol
HECA	Cytosol
HECTD1	Cytosol
HECTD3	Cytosol
HECTD4	Cytosol
HECW1	Cytosol
HECW2	Cytosol
HEG1	Nuclear
HELB	Cytosol
HELLS	Nuclear
HELQ	Unclassified
HELZ	Nuclear
HELZ2	Nuclear
HEMK1	Mitochondria
HENMT1	Cytosol
HERC1	Cytosol
HERC2	Secretory
HERC3	Cytosol
HERC4	Cytosol
HERC5	Secretory
HERPUD1	Secretory
HERPUD2	Unclassified
HES1	Nuclear
HEXA	Unclassified
HEXB	Unclassified
HEXDC	Cytosol
HEXIM1	Nuclear
HEXIM2	Nuclear
HFE	Unclassified
HGFAC	Secretory
HGS	Cytosol
HGSNAT	Secretory
HHAT	Secretory
HIAT1	Secretory
HIATL1	Secretory
HIBADH	Mitochondria
HIBCH	Mitochondria
HID1	Cytosol
HIF1A	Cytosol
HIF1AN	Cytosol
HIGD2A	Mitochondria
HINFP	Nuclear
HINT1	Cytosol
HINT2	Unclassified
HINT3	Secretory
HIP1	Mitochondria
HIP1R	Cytosol
HIPK1	Cytosol
HIPK3	Cytosol
HIRA	Nuclear
HIRIP3	Nuclear
HIST1H1B	Nuclear
HIST1H1C	Nuclear
HIST1H1D	Nuclear
HIST1H1E	Nuclear
HIST1H1T	Unclassified
HIST2H2AB	Nuclear
HIST2H3PS2	Nuclear
HIST3H2BB	Nuclear
HIST3H3	Nuclear
HIVEP1	Nuclear
HIVEP2	Cytosol
HIVEP3	Nuclear
HJURP	Nuclear
HK1	Nuclear
HK2	Cytosol
HKR1	Nuclear
HLA-A	Secretory
HLA-B	Nuclear
HLA-C	Secretory
HLA-DQB1	Secretory
HLA-DRB1	Secretory
HLA-E	Secretory
HLA-F	Secretory
HLCS	Cytosol
HLTF	Nuclear
HM13	Secretory
HMBOX1	Unclassified
HMBS	Unclassified
HMCES	Nuclear
HMCN1	Secretory
HMG20A	Nuclear
HMG20B	Nuclear
HMGA1	Nuclear
HMGB1	Nuclear
HMGB2	Nuclear
HMGB3	Nuclear
HMGCL	Mitochondria
HMGCLL1	Cytosol
HMGCR	Secretory
HMGCS1	Cytosol
HMGN1	Nuclear
HMGN2	Nuclear
HMGN3	Nuclear
HMGN4	Nuclear
HMGN5	Nuclear
HMGXB3	Nuclear
HMGXB4	Nuclear
HMHA1	Unclassified
HMMR	Cytosol
HMOX1	Secretory
HMOX2	Secretory
HN1	Cytosol
HN1L	Cytosol
HNMT	Cytosol
HNRNPA0	Nuclear
HNRNPA1	Nuclear
HNRNPA1L2	Cytosol
HNRNPA2B1	Nuclear
HNRNPA3	Nuclear
HNRNPAB	Nuclear
HNRNPC	Nuclear
HNRNPCL1	Nuclear
HNRNPD	Nuclear
HNRNPDL	Nuclear
HNRNPF	Nuclear
HNRNPH1	Nuclear
HNRNPH2	Nuclear
HNRNPH3	Nuclear
HNRNPK	Nuclear
HNRNPL	Nuclear
HNRNPLL	Nuclear
HNRNPM	Nuclear
HNRNPR	Nuclear
HNRNPU	Nuclear
HNRNPUL1	Nuclear
HNRNPUL2	Nuclear
HOMER1	Cytosol
HOMER2	Cytosol
HOMER3	Cytosol
HOMEZ	Nuclear
HOOK1	Cytosol
HOOK2	Cytosol
HOOK3	Cytosol
HOXA4	Unclassified
HOXA5	Unclassified
HOXB7	Secretory
HOXC10	Nuclear
HOXC13	Nuclear
HOXC6	Unclassified
HOXC8	Unclassified
HOXC9	Unclassified
HOXD8	Nuclear
HP	Unclassified
HP1BP3	Nuclear
HPCAL1	Cytosol
HPDL	Mitochondria
HPGD	Cytosol
HPRT1	Cytosol
HPS3	Cytosol
HPS4	Cytosol
HPS5	Cytosol
HPS6	Cytosol
HPSE	Secretory
HPX	Cytosol
HR	Unclassified
HRAS	Secretory
HRG	Cytosol
HRNR	Unclassified
HRSP12	Cytosol
HS1BP3	Cytosol
HS2ST1	Secretory
HS6ST1	Secretory
HS6ST2	Secretory
HSBP1	Cytosol
HSCB	Mitochondria
HSD11B2	Unclassified
HSD17B10	Mitochondria
HSD17B11	Secretory
HSD17B12	Secretory
HSD17B13	Secretory
HSD17B4	Secretory
HSD17B7	Mitochondria
HSD17B8	Mitochondria
HSD3B7	Secretory
HSDL1	Mitochondria
HSDL2	Mitochondria
HSF1	Nuclear
HSF2	Nuclear
HSF5	Unclassified
HSH2D	Cytosol
HSP90AA1	Cytosol
HSP90AB1	Cytosol
HSP90B1	Unclassified
HSPA12A	Cytosol
HSPA13	Secretory
HSPA14	Cytosol
HSPA1A	Nuclear
HSPA1L	Cytosol
HSPA2	Cytosol
HSPA4	Cytosol
HSPA4L	Cytosol
HSPA5	Nuclear
HSPA6	Cytosol
HSPA8	Cytosol
HSPA9	Mitochondria
HSPB1	Cytosol
HSPB11	Cytosol
HSPB8	Cytosol
HSPBAP1	Cytosol
HSPBP1	Cytosol
HSPD1	Mitochondria
HSPE1	Mitochondria
HSPG2	Secretory
HSPH1	Cytosol
HTATIP2	Secretory
HTATSF1	Nuclear
HTRA1	Secretory
HTRA2	Unclassified
HTT	Cytosol
HUS1	Nuclear
HUWE1	Cytosol
HYAL2	Secretory
HYI	Cytosol
HYKK	Cytosol
HYLS1	Cytosol
HYOU1	Nuclear
HYPK	Cytosol
IAH1	Cytosol
IARS	Nuclear
IARS2	Mitochondria
IBA57	Mitochondria
IBTK	Nuclear
ICA1	Cytosol
ICA1L	Cytosol
ICAM1	Secretory
ICK	Unclassified
ICMT	Secretory
ICOSLG	Secretory
ICT1	Unclassified
ID1	Unclassified
ID2	Cytosol
ID3	Cytosol
IDE	Cytosol
IDH1	Cytosol
IDH2	Mitochondria
IDH3A	Mitochondria
IDH3B	Mitochondria
IDH3G	Mitochondria
IDI1	Cytosol
IDNK	Cytosol
IDS	Nuclear
IDUA	Unclassified
IER2	Unclassified
IER3	Secretory
IFFO2	Cytosol
IFI30	Secretory
IFI35	Cytosol
IFI6	Secretory
IFIH1	Cytosol
IFIT5	Cytosol
IFITM10	Secretory
IFITM3	Cytosol
IFNAR1	Secretory
IFNAR2	Secretory
IFNGR1	Secretory
IFNGR2	Secretory
IFRD1	Cytosol
IFT122	Cytosol
IFT140	Cytosol
IFT172	Cytosol
IFT20	Unclassified
IFT27	Cytosol
IFT43	Cytosol
IFT46	Cytosol
IFT52	Cytosol
IFT57	Cytosol
IFT74	Cytosol
IFT80	Cytosol
IFT81	Cytosol
IFT88	Cytosol
IGBP1	Cytosol
IGF1R	Secretory
IGF2	Nuclear
IGF2BP1	Nuclear
IGF2BP2	Nuclear
IGF2R	Secretory
IGFBP2	Secretory
IGFBP3	Secretory
IGFBP4	Secretory
IGFBP5	Nuclear
IGFBP6	Secretory
IGFBPL1	Cytosol
IGHA1	Unclassified
IGHG1	Unclassified
IGHG3	Cytosol
IGHM	Unclassified
IGHMBP2	Nuclear
IGJ	Cytosol
IGKC	Unclassified
IGSF1	Secretory
IGSF22	Nuclear
IGSF3	Secretory
IGSF8	Secretory
IGSF9	Secretory
IK	Nuclear
IKBIP	Secretory
IKBKAP	Cytosol
IKBKB	Cytosol
IKBKE	Cytosol
IKBKG	Cytosol
IKZF2	Nuclear
IKZF5	Nuclear
IL10RB	Unclassified
IL13RA1	Secretory
IL17RA	Secretory
IL17RB	Secretory
IL17RC	Secretory
IL18	Cytosol
IL1RAP	Secretory
IL1RN	Cytosol
IL27RA	Secretory
IL31RA	Unclassified
IL4R	Secretory
IL6ST	Secretory
ILDR1	Secretory
ILF2	Nuclear
ILF3	Nuclear
ILK	Cytosol
ILKAP	Nuclear
ILVBL	Secretory
IMMP1L	Mitochondria
IMMP2L	Mitochondria
IMMT	Mitochondria
IMP3	Nuclear
IMP4	Nuclear
IMPA1	Cytosol
IMPA2	Cytosol
IMPACT	Cytosol
IMPAD1	Secretory
IMPDH1	Cytosol
IMPDH2	Cytosol
INADL	Secretory
INCENP	Nuclear
INF2	Secretory
ING1	Nuclear
ING2	Nuclear
ING3	Nuclear
ING4	Nuclear
ING5	Nuclear
INHBB	Secretory
INIP	Nuclear
INO80	Nuclear
INO80B	Nuclear
INO80C	Nuclear
INO80D	Nuclear
INO80E	Nuclear
INPP1	Cytosol
INPP4A	Cytosol
INPP4B	Cytosol
INPP5A	Secretory
INPP5B	Cytosol
INPP5E	Cytosol
INPP5F	Cytosol
INPP5J	Cytosol
INPP5K	Secretory
INPPL1	Cytosol
INSIG1	Secretory
INSIG2	Secretory
INSR	Secretory
INTS1	Nuclear
INTS10	Nuclear
INTS12	Nuclear
INTS2	Nuclear
INTS3	Nuclear
INTS4	Nuclear
INTS5	Nuclear
INTS6	Nuclear
INTS7	Nuclear
INTS8	Nuclear
INTS9	Nuclear
INVS	Secretory
IP6K1	Secretory
IPMK	Cytosol
IPO11	Cytosol
IPO13	Cytosol
IPO4	Cytosol
IPO5	Cytosol
IPO7	Cytosol
IPO8	Cytosol
IPO9	Cytosol
IPP	Cytosol
IPPK	Cytosol
IQCB1	Cytosol
IQCC	Unclassified
IQCE	Nuclear
IQGAP1	Cytosol
IQGAP2	Cytosol
IQGAP3	Cytosol
IQSEC1	Cytosol
IQSEC2	Cytosol
IRAK1	Cytosol
IRAK4	Cytosol
IREB2	Cytosol
IRF2	Nuclear
IRF2BP1	Nuclear
IRF2BP2	Nuclear
IRF2BPL	Nuclear
IRF3	Cytosol
IRF5	Cytosol
IRF6	Cytosol
IRF9	Cytosol
IRGQ	Cytosol
IRS1	Cytosol
IRS2	Cytosol
IRX2	Nuclear
IRX4	Secretory
IRX5	Nuclear
ISCA1	Mitochondria
ISCA2	Unclassified
ISCU	Mitochondria
ISG15	Cytosol
ISG20	Cytosol
ISG20L2	Nuclear
ISL2	Unclassified
ISOC1	Cytosol
ISOC2	Mitochondria
ISPD	Cytosol
IST1	Cytosol
ISYNA1	Cytosol
ITCH	Cytosol
ITFG1	Secretory
ITFG2	Cytosol
ITFG3	Secretory
ITGA2	Secretory
ITGA3	Secretory
ITGA5	Secretory
ITGA6	Secretory
ITGAV	Secretory
ITGB1	Secretory
ITGB1BP1	Unclassified
ITGB2	Secretory
ITGB3BP	Nuclear
ITGB4	Secretory
ITGB5	Secretory
ITGB6	Secretory
ITGB8	Unclassified
ITIH1	Unclassified
ITIH2	Cytosol
ITIH3	Unclassified
ITIH4	Cytosol
ITM2B	Secretory
ITM2C	Secretory
ITPA	Cytosol
ITPK1	Cytosol
ITPKA	Unclassified
ITPKB	Cytosol
ITPKC	Cytosol
ITPR1	Secretory
ITPR2	Secretory
ITPR3	Secretory
ITPRIP	Nuclear
ITPRIPL2	Unclassified
ITSN1	Cytosol
ITSN2	Nuclear
IVD	Mitochondria
IVL	Cytosol
IVNS1ABP	Cytosol
IWS1	Nuclear
IZUMO1	Nuclear
JADE1	Nuclear
JADE2	Nuclear
JAG1	Secretory
JAG2	Secretory
JAGN1	Secretory
JAK1	Secretory
JAK2	Secretory
JAK3	Nuclear
JARID2	Nuclear
JKAMP	Secretory
JMJD1C	Nuclear
JMJD4	Cytosol
JMJD6	Nuclear
JMY	Cytosol
JOSD1	Unclassified
JOSD2	Cytosol
JPH1	Secretory
JRKL	Nuclear
JTB	Unclassified
JUN	Nuclear
JUNB	Nuclear
JUND	Nuclear
JUP	Secretory
KALRN	Secretory
KANK1	Unclassified
KANK2	Secretory
KANSL1	Nuclear
KANSL2	Nuclear
KANSL3	Nuclear
KARS	Cytosol
KAT2A	Nuclear
KAT2B	Nuclear
KAT5	Nuclear
KAT6A	Nuclear
KAT6B	Nuclear
KAT7	Nuclear
KAT8	Nuclear
KATNA1	Cytosol
KATNAL1	Cytosol
KATNAL2	Cytosol
KATNB1	Cytosol
KATNBL1	Cytosol
KAZN	Cytosol
KBTBD11	Cytosol
KBTBD2	Cytosol
KBTBD4	Cytosol
KBTBD6	Cytosol
KBTBD7	Cytosol
KBTBD8	Cytosol
KCMF1	Cytosol
KCNA3	Cytosol
KCNAB1	Cytosol
KCNAB2	Cytosol
KCNH5	Cytosol
KCNJ11	Secretory
KCNJ3	Secretory
KCNJ8	Secretory
KCNK1	Secretory
KCNK15	Cytosol
KCNK2	Secretory
KCNK6	Secretory
KCNN4	Secretory
KCNQ5	Unclassified
KCTD1	Nuclear
KCTD10	Cytosol
KCTD12	Cytosol
KCTD13	Cytosol
KCTD15	Nuclear
KCTD17	Cytosol
KCTD18	Nuclear
KCTD2	Cytosol
KCTD20	Cytosol
KCTD21	Cytosol
KCTD3	Cytosol
KCTD5	Cytosol
KCTD9	Cytosol
KDELC1	Unclassified
KDELC2	Unclassified
KDELR1	Secretory
KDELR3	Secretory
KDM1A	Nuclear
KDM1B	Nuclear
KDM2A	Nuclear
KDM2B	Nuclear
KDM3A	Nuclear
KDM3B	Nuclear
KDM4A	Nuclear
KDM4B	Nuclear
KDM4C	Nuclear
KDM4D	Unclassified
KDM5A	Nuclear
KDM5B	Nuclear
KDM5C	Nuclear
KDM6A	Nuclear
KDM6B	Nuclear
KDM8	Cytosol
KDSR	Secretory
KEAP1	Cytosol
KHDRBS1	Nuclear
KHDRBS3	Nuclear
KHK	Cytosol
KHNYN	Cytosol
KHSRP	Nuclear
KIAA0020	Nuclear
KIAA0040	Secretory
KIAA0100	Secretory
KIAA0101	Nuclear
KIAA0141	Mitochondria
KIAA0195	Secretory
KIAA0196	Cytosol
KIAA0226	Unclassified
KIAA0232	Cytosol
KIAA0247	Cytosol
KIAA0319	Secretory
KIAA0319L	Secretory
KIAA0355	Unclassified
KIAA0368	Cytosol
KIAA0430	Unclassified
KIAA0513	Cytosol
KIAA0556	Cytosol
KIAA0586	Cytosol
KIAA0753	Secretory
KIAA0754	Secretory
KIAA0907	Nuclear
KIAA0922	Secretory
KIAA0930	Cytosol
KIAA0947	Nuclear
KIAA1009	Unclassified
KIAA1033	Cytosol
KIAA1107	Cytosol
KIAA1109	Secretory
KIAA1143	Nuclear
KIAA1147	Secretory
KIAA1161	Secretory
KIAA1191	Cytosol
KIAA1199	Secretory
KIAA1211	Nuclear
KIAA1211L	Unclassified
KIAA1217	Unclassified
KIAA1244	Cytosol
KIAA1279	Cytosol
KIAA1324	Secretory
KIAA1324L	Secretory
KIAA1328	Nuclear
KIAA1407	Secretory
KIAA1429	Nuclear
KIAA1430	Unclassified
KIAA1432	Unclassified
KIAA1462	Unclassified
KIAA1467	Secretory
KIAA1468	Cytosol
KIAA1522	Secretory
KIAA1524	Cytosol
KIAA1549	Secretory
KIAA1551	Secretory
KIAA1586	Nuclear
KIAA1598	Cytosol
KIAA1671	Secretory
KIAA1715	Secretory
KIAA1731	Secretory
KIAA1919	Secretory
KIAA1958	Nuclear
KIAA2013	Secretory
KIAA2026	Secretory
KIDINS220	Secretory
KIF11	Cytosol
KIF13A	Cytosol
KIF13B	Cytosol
KIF14	Secretory
KIF15	Cytosol
KIF16B	Cytosol
KIF18A	Nuclear
KIF18B	Nuclear
KIF1A	Cytosol
KIF1B	Cytosol
KIF1C	Unclassified
KIF20A	Nuclear
KIF20B	Nuclear
KIF21A	Cytosol
KIF22	Nuclear
KIF23	Unclassified
KIF24	Secretory
KIF26A	Secretory
KIF27	Cytosol
KIF2A	Nuclear
KIF2C	Unclassified
KIF3A	Cytosol
KIF3B	Cytosol
KIF3C	Cytosol
KIF4A	Nuclear
KIF4B	Cytosol
KIF5A	Cytosol
KIF5B	Cytosol
KIF5C	Cytosol
KIF9	Unclassified
KIFAP3	Cytosol
KIFC1	Nuclear
KIFC3	Cytosol
KIN	Nuclear
KITLG	Secretory
KLC1	Cytosol
KLC2	Cytosol
KLC3	Cytosol
KLC4	Cytosol
KLF10	Nuclear
KLF12	Unclassified
KLF13	Nuclear
KLF16	Nuclear
KLF3	Nuclear
KLF4	Nuclear
KLF5	Nuclear
KLHDC10	Cytosol
KLHDC2	Cytosol
KLHDC3	Unclassified
KLHDC4	Cytosol
KLHDC7A	Cytosol
KLHDC8B	Secretory
KLHDC9	Cytosol
KLHL11	Cytosol
KLHL12	Unclassified
KLHL13	Cytosol
KLHL15	Cytosol
KLHL20	Cytosol
KLHL21	Cytosol
KLHL22	Cytosol
KLHL25	Cytosol
KLHL26	Cytosol
KLHL36	Cytosol
KLHL42	Cytosol
KLHL5	Cytosol
KLHL7	Unclassified
KLHL8	Cytosol
KLHL9	Cytosol
KLK6	Unclassified
KLKB1	Cytosol
KLRG2	Secretory
KMT2A	Nuclear
KMT2C	Nuclear
KMT2D	Nuclear
KMT2E	Nuclear
KNDC1	Cytosol
KNG1	Cytosol
KNOP1	Nuclear
KNSTRN	Cytosol
KNTC1	Cytosol
KPNA1	Cytosol
KPNA2	Cytosol
KPNA3	Cytosol
KPNA4	Cytosol
KPNA6	Cytosol
KPNB1	Cytosol
KPRP	Unclassified
KPTN	Cytosol
KRAS	Secretory
KRBA1	Unclassified
KRBOX4	Nuclear
KRCC1	Nuclear
KREMEN2	Secretory
KRI1	Nuclear
KRIT1	Unclassified
KRR1	Nuclear
KRT1	Unclassified
KRT10	Unclassified
KRT12	Unclassified
KRT13	Mitochondria
KRT14	Unclassified
KRT15	Unclassified
KRT16	Unclassified
KRT17	Unclassified
KRT18	Unclassified
KRT19	Unclassified
KRT2	Unclassified
KRT20	Unclassified
KRT23	Mitochondria
KRT3	Mitochondria
KRT31	Nuclear
KRT32	Nuclear
KRT33B	Unclassified
KRT35	Nuclear
KRT38	Unclassified
KRT4	Unclassified
KRT5	Unclassified
KRT6A	Unclassified
KRT6B	Unclassified
KRT7	Unclassified
KRT72	Nuclear
KRT73	Nuclear
KRT74	Unclassified
KRT75	Unclassified
KRT77	Unclassified
KRT78	Unclassified
KRT79	Unclassified
KRT8	Unclassified
KRT80	Cytosol
KRT82	Nuclear
KRT84	Nuclear
KRT85	Nuclear
KRT9	Secretory
KRTCAP2	Secretory
KRTCAP3	Secretory
KSR1	Cytosol
KTI12	Cytosol
KTN1	Secretory
KXD1	Secretory
KYNU	Cytosol
L1CAM	Secretory
L2HGDH	Mitochondria
L3HYPDH	Cytosol
L3MBTL2	Nuclear
L3MBTL3	Nuclear
LACC1	Cytosol
LACE1	Mitochondria
LACTB	Secretory
LACTB2	Cytosol
LAD1	Nuclear
LAMA3	Secretory
LAMA5	Secretory
LAMB1	Secretory
LAMB2	Secretory
LAMB3	Secretory
LAMC1	Secretory
LAMC2	Secretory
LAMP1	Secretory
LAMP2	Secretory
LAMTOR1	Secretory
LAMTOR2	Secretory
LAMTOR3	Secretory
LAMTOR4	Secretory
LAMTOR5	Unclassified
LANCL1	Cytosol
LANCL2	Cytosol
LAP3	Cytosol
LAPTM4A	Secretory
LAPTM4B	Unclassified
LARGE	Secretory
LARP1	Nuclear
LARP1B	Nuclear
LARP4	Secretory
LARP4B	Nuclear
LARP7	Nuclear
LARS	Cytosol
LARS2	Mitochondria
LAS1L	Nuclear
LASP1	Cytosol
LATS1	Cytosol
LATS2	Cytosol
LBP	Nuclear
LBR	Secretory
LCA5	Cytosol
LCLAT1	Secretory
LCMT1	Cytosol
LCMT2	Cytosol
LCOR	Nuclear
LCORL	Nuclear
LCP1	Cytosol
LDB1	Nuclear
LDHA	Cytosol
LDHB	Cytosol
LDHD	Mitochondria
LDLR	Secretory
LDLRAP1	Unclassified
LDOC1	Cytosol
LDOC1L	Nuclear
LEF1	Nuclear
LEMD2	Secretory
LEMD3	Nuclear
LENG1	Nuclear
LEO1	Nuclear
LEPRE1	Secretory
LEPREL2	Unclassified
LEPROT	Secretory
LEPROTL1	Secretory
LETM1	Mitochondria
LETM2	Unclassified
LETMD1	Mitochondria
LFNG	Secretory
LGALS1	Cytosol
LGALS3	Cytosol
LGALS3BP	Secretory
LGALS8	Secretory
LGALSL	Cytosol
LGMN	Nuclear
LGR4	Secretory
LHFPL2	Secretory
LHPP	Cytosol
LHX2	Nuclear
LIAS	Mitochondria
LIG1	Nuclear
LIG3	Nuclear
LIG4	Cytosol
LIMA1	Unclassified
LIMCH1	Nuclear
LIMD1	Cytosol
LIMD2	Cytosol
LIMK1	Cytosol
LIMK2	Cytosol
LIMS1	Cytosol
LIN37	Nuclear
LIN52	Nuclear
LIN54	Nuclear
LIN7A	Unclassified
LIN7B	Unclassified
LIN7C	Secretory
LIN9	Nuclear
LINGO1	Cytosol
LINS	Nuclear
LIPA	Secretory
LIPE	Cytosol
LIPH	Secretory
LIPT1	Mitochondria
LIPT2	Unclassified
LITAF	Secretory
LLGL1	Cytosol
LLGL2	Secretory
LLPH	Nuclear
LMAN1	Secretory
LMAN2	Secretory
LMAN2L	Secretory
LMBR1	Secretory
LMBR1L	Secretory
LMBRD1	Secretory
LMBRD2	Secretory
LMCD1	Cytosol
LMF1	Secretory
LMF2	Unclassified
LMLN	Secretory
LMNA	Nuclear
LMNB1	Nuclear
LMNB2	Nuclear
LMO4	Nuclear
LMO7	Mitochondria
LMTK2	Secretory
LMX1B	Nuclear
LNPEP	Secretory
LNX1	Cytosol
LNX2	Cytosol
LOH12CR1	Secretory
LONP1	Mitochondria
LONP2	Secretory
LONRF2	Cytosol
LOXL1	Secretory
LOXL2	Secretory
LPA	Unclassified
LPAR2	Secretory
LPCAT1	Secretory
LPCAT2	Secretory
LPCAT4	Secretory
LPGAT1	Secretory
LPHN1	Secretory
LPHN2	Secretory
LPIN1	Cytosol
LPIN2	Cytosol
LPIN3	Cytosol
LPP	Cytosol
LRBA	Cytosol
LRCH1	Secretory
LRCH3	Cytosol
LRCH4	Secretory
LRFN1	Secretory
LRG1	Cytosol
LRIF1	Nuclear
LRIG1	Secretory
LRIG2	Secretory
LRIG3	Secretory
LRP1	Secretory
LRP10	Secretory
LRP11	Secretory
LRP12	Secretory
LRP3	Secretory
LRP4	Cytosol
LRP5	Secretory
LRP6	Secretory
LRP8	Secretory
LRPAP1	Nuclear
LRPPRC	Mitochondria
LRR1	Nuclear
LRRC1	Mitochondria
LRRC14	Cytosol
LRRC15	Secretory
LRRC16A	Cytosol
LRRC20	Cytosol
LRRC24	Secretory
LRRC26	Secretory
LRRC28	Cytosol
LRRC3	Secretory
LRRC40	Cytosol
LRRC41	Nuclear
LRRC42	Nuclear
LRRC45	Cytosol
LRRC46	Cytosol
LRRC47	Cytosol
LRRC57	Cytosol
LRRC58	Cytosol
LRRC59	Secretory
LRRC8A	Secretory
LRRC8B	Secretory
LRRC8C	Secretory
LRRC8D	Secretory
LRRC8E	Secretory
LRRCC1	Nuclear
LRRFIP1	Cytosol
LRRFIP2	Cytosol
LRSAM1	Cytosol
LRWD1	Nuclear
LSG1	Secretory
LSM1	Cytosol
LSM10	Nuclear
LSM11	Nuclear
LSM12	Cytosol
LSM14A	Nuclear
LSM14B	Nuclear
LSM2	Unclassified
LSM3	Cytosol
LSM4	Nuclear
LSM5	Nuclear
LSM6	Nuclear
LSM7	Unclassified
LSMD1	Cytosol
LSR	Secretory
LSS	Secretory
LTA4H	Cytosol
LTBP1	Secretory
LTBP3	Secretory
LTBP4	Cytosol
LTBR	Secretory
LTF	Cytosol
LTN1	Cytosol
LTV1	Cytosol
LUC7L	Nuclear
LUC7L3	Nuclear
LUM	Cytosol
LURAP1L	Cytosol
LUZP1	Nuclear
LXN	Cytosol
LYAR	Nuclear
LYN	Secretory
LYPD1	Secretory
LYPD3	Secretory
LYPD6	Unclassified
LYPD6B	Unclassified
LYPLA1	Cytosol
LYPLA2	Cytosol
LYPLAL1	Cytosol
LYRM1	Mitochondria
LYRM2	Mitochondria
LYRM4	Unclassified
LYRM5	Mitochondria
LYRM7	Mitochondria
LYSMD1	Cytosol
LYSMD2	Cytosol
LYSMD3	Secretory
LYSMD4	Secretory
LYST	Cytosol
LYZ	Unclassified
LYZL1	Nuclear
LZIC	Cytosol
LZTFL1	Cytosol
LZTR1	Cytosol
LZTS2	Unclassified
M6PR	Secretory
MACC1	Cytosol
MACF1	Cytosol
MACROD1	Mitochondria
MACROD2	Cytosol
MAD1L1	Nuclear
MAD2L1	Cytosol
MAD2L1BP	Cytosol
MAD2L2	Nuclear
MADD	Cytosol
MAEA	Cytosol
MAF1	Cytosol
MAFF	Nuclear
MAFG	Nuclear
MAFK	Nuclear
MAGEB1	Cytosol
MAGED1	Cytosol
MAGED2	Cytosol
MAGEE1	Cytosol
MAGEF1	Cytosol
MAGEH1	Secretory
MAGI1	Unclassified
MAGI3	Cytosol
MAGOH	Cytosol
MAGT1	Secretory
MAK16	Nuclear
MAL2	Secretory
MALSU1	Mitochondria
MALT1	Cytosol
MAML1	Nuclear
MAML3	Nuclear
MAMLD1	Nuclear
MAN1A1	Secretory
MAN1A2	Secretory
MAN1B1	Secretory
MAN1C1	Secretory
MAN2A1	Secretory
MAN2A2	Secretory
MAN2B1	Unclassified
MAN2B2	Unclassified
MAN2C1	Cytosol
MANBA	Unclassified
MANBAL	Secretory
MANEA	Secretory
MANEAL	Secretory
MANF	Unclassified
MANSC1	Secretory
MAOA	Mitochondria
